media_id,frame_nr,class_0,p_0,class_1,p_1,class_2,p_2,class_3,p_3,class_4,p_4,class_5,p_5,class_6,p_6,class_7,p_7,class_8,p_8,class_9,p_9
QJO3ROT-A4E,56,pajama,0.039861049503088,lakeside,0.033984750509262085,barracouta,0.023727621883153915,bikini,0.02338040992617607,sunglass,0.019858095794916153,tench,0.017617719247937202,maillot,0.01652732864022255,sunscreen,0.01628698781132698,stole,0.015926968306303024,cowboy_hat,0.012690032832324505
QJO3ROT-A4E,95,bikini,0.3103744089603424,brassiere,0.2060742974281311,maillot,0.10000064224004745,sunscreen,0.01940375566482544,cellular_telephone,0.01919938065111637,rifle,0.01639627106487751,assault_rifle,0.012830488383769989,maillot,0.008633961901068687,sarong,0.008341680280864239,seashore,0.0073698521591722965
QJO3ROT-A4E,21,seashore,0.3692377805709839,promontory,0.1214541420340538,sandbar,0.10369329899549484,leatherback_turtle,0.02304142713546753,swimming_trunks,0.01429374422878027,maze,0.011280438862740993,sea_lion,0.010557450354099274,beacon,0.010103409178555012,cliff,0.00926751084625721,breakwater,0.009134900756180286
QJO3ROT-A4E,48,seashore,0.11748597770929337,swimming_trunks,0.10670860856771469,sarong,0.06794150918722153,bikini,0.05226685479283333,sea_lion,0.0316324420273304,paddle,0.028832530602812767,maillot,0.026924127712845802,maillot,0.026628704741597176,promontory,0.020405342802405357,breakwater,0.010819842107594013
QJO3ROT-A4E,83,maillot,0.7036845088005066,maillot,0.1549292653799057,bikini,0.03654923662543297,sarong,0.008736860938370228,brassiere,0.0027477112598717213,sunscreen,0.0018641345668584108,swimming_trunks,0.0017359867924824357,swing,0.0016205182764679193,miniskirt,0.001577449031174183,hand_blower,0.0013414245331659913
QJO3ROT-A4E,105,swimming_trunks,0.35107314586639404,seashore,0.14177003502845764,promontory,0.08799747377634048,sarong,0.041610270738601685,cliff,0.02098388597369194,sandbar,0.018397154286503792,bikini,0.014897765591740608,snorkel,0.014844313263893127,sea_lion,0.009069554507732391,Great_Dane,0.0070356628857553005
QJO3ROT-A4E,44,minibus,0.5549912452697754,jeep,0.049937184900045395,minivan,0.02127573825418949,cliff,0.01860632747411728,seashore,0.017434218898415565,moving_van,0.014774197712540627,pickup,0.012250851839780807,oxcart,0.011514808051288128,recreational_vehicle,0.011433335952460766,garbage_truck,0.01070073526352644
QJO3ROT-A4E,109,solar_dish,0.16073951125144958,balance_beam,0.04486105591058731,bannister,0.030367089435458183,worm_fence,0.029169578105211258,radio_telescope,0.0259389728307724,coho,0.023612072691321373,paddlewheel,0.019432099536061287,pier,0.014805744402110577,sandbar,0.013561391271650791,unicycle,0.012941067107021809
QJO3ROT-A4E,22,seashore,0.3321736752986908,sandbar,0.15087129175662994,promontory,0.14204005897045135,leatherback_turtle,0.01692741923034191,swimming_trunks,0.011441011913120747,breakwater,0.01002588588744402,beacon,0.009096302092075348,maze,0.008867665193974972,cliff,0.008240806870162487,sea_lion,0.008226894773542881
QJO3ROT-A4E,53,seat_belt,0.22011904418468475,convertible,0.15090928971767426,minivan,0.1392546445131302,limousine,0.09010457992553711,beach_wagon,0.06918519735336304,cassette_player,0.04138452932238579,minibus,0.03037376143038273,neck_brace,0.009484904818236828,car_mirror,0.008563865907490253,odometer,0.007695344276726246
QJO3ROT-A4E,70,cliff,0.29470035433769226,swimming_trunks,0.1026674136519432,unicycle,0.023868154734373093,promontory,0.014700229279696941,soccer_ball,0.012496999464929104,barracouta,0.011234543286263943,Great_Dane,0.010048174299299717,sarong,0.00979120284318924,kuvasz,0.008885147050023079,seashore,0.00796537846326828
QJO3ROT-A4E,18,promontory,0.41220179200172424,valley,0.13795751333236694,cliff,0.13784553110599518,seashore,0.05684756487607956,dam,0.01606977917253971,lakeside,0.002792737912386656,sea_lion,0.0023681730963289738,beacon,0.0020849723368883133,sandbar,0.002037635538727045,breakwater,0.001985258422791958
QJO3ROT-A4E,1,monitor,0.06449422985315323,seashore,0.03940365090966225,television,0.039076246321201324,screen,0.01820427179336548,volcano,0.015043731778860092,candle,0.014164215885102749,beacon,0.01194098312407732,torch,0.009480548091232777,spotlight,0.008439439348876476,projector,0.007139796391129494
QJO3ROT-A4E,97,bannister,0.26569122076034546,paddlewheel,0.04262956604361534,rocking_chair,0.03185712546110153,beacon,0.03157155215740204,bell_cote,0.021975653246045113,flagpole,0.021334387362003326,liner,0.018387822434306145,horizontal_bar,0.009751425124704838,picket_fence,0.008565261028707027,window_screen,0.007485072128474712
QJO3ROT-A4E,104,swimming_trunks,0.30477777123451233,sarong,0.23329032957553864,seashore,0.0954250767827034,promontory,0.0825670138001442,sea_lion,0.01682240702211857,sandbar,0.015199583023786545,cliff,0.011501852422952652,volleyball,0.009723772294819355,soccer_ball,0.009631010703742504,snorkel,0.007545145228505135
QJO3ROT-A4E,49,swimming_trunks,0.14885975420475006,seashore,0.08976570516824722,maillot,0.06316028535366058,sarong,0.04214934632182121,paddle,0.034871574491262436,maillot,0.027971800416707993,leatherback_turtle,0.0230060126632452,bikini,0.022426994517445564,sea_lion,0.019277602434158325,breakwater,0.01631784439086914
QJO3ROT-A4E,61,wig,0.09497381746768951,stole,0.025520022958517075,bikini,0.01538520772010088,sunglass,0.01422869972884655,wool,0.013762782327830791,lakeside,0.012993063777685165,alp,0.012712446041405201,shower_cap,0.012420779094099998,hair_spray,0.01107497327029705,pajama,0.00943717360496521
QJO3ROT-A4E,98,bannister,0.3754112422466278,beacon,0.06662829220294952,paddlewheel,0.028080249205231667,bell_cote,0.022721869871020317,flagpole,0.017520565539598465,solar_dish,0.010340765118598938,parallel_bars,0.009883100166916847,picket_fence,0.008978049270808697,horizontal_bar,0.00691854115575552,window_screen,0.006670477334409952
QJO3ROT-A4E,23,geyser,0.5447118878364563,seashore,0.09814950823783875,promontory,0.06035028398036957,cliff,0.05137570574879646,sandbar,0.022250432521104813,volcano,0.019358549267053604,megalith,0.0037173833698034286,swimming_trunks,0.0031313421204686165,breakwater,0.0028779800049960613,grey_whale,0.002781858667731285
QJO3ROT-A4E,72,seashore,0.19802570343017578,swimming_trunks,0.12862205505371094,kuvasz,0.047966230660676956,maillot,0.03935781866312027,maillot,0.035629112273454666,promontory,0.031021365895867348,Samoyed,0.022227149456739426,Great_Pyrenees,0.01584671624004841,beacon,0.014464329928159714,sarong,0.013814556412398815
QJO3ROT-A4E,100,bannister,0.340756356716156,bell_cote,0.06270460784435272,paddlewheel,0.031465768814086914,beacon,0.02872535027563572,rocking_chair,0.01992277055978775,flagpole,0.01568949967622757,parallel_bars,0.011756581254303455,liner,0.009151428937911987,horizontal_bar,0.008056129328906536,solar_dish,0.00805096235126257
QJO3ROT-A4E,24,bikini,0.2534724175930023,maillot,0.11268577724695206,wig,0.08383596688508987,sunscreen,0.049888622015714645,maillot,0.03858783096075058,brassiere,0.018048526719212532,sarong,0.017170481383800507,lipstick,0.015032968483865261,lab_coat,0.01142776757478714,swimming_trunks,0.00934325996786356
QJO3ROT-A4E,67,sandbar,0.3926793932914734,seashore,0.26939743757247925,cliff,0.022035889327526093,promontory,0.013559963554143906,horse_cart,0.010880078189074993,alp,0.010450473986566067,oxcart,0.01024114340543747,dingo,0.009391686879098415,wreck,0.007080537732690573,Arabian_camel,0.00669025257229805
QJO3ROT-A4E,2,seashore,0.6176770925521851,sandbar,0.047993797808885574,promontory,0.016683222725987434,beacon,0.010609786957502365,lakeside,0.010220272466540337,leatherback_turtle,0.008258605375885963,wreck,0.00784673634916544,breakwater,0.005761895794421434,cliff,0.005460820160806179,geyser,0.004172221757471561
QJO3ROT-A4E,38,trolleybus,0.36617782711982727,recreational_vehicle,0.28328147530555725,minibus,0.026344820857048035,passenger_car,0.02150464989244938,ambulance,0.018092453479766846,fire_engine,0.01415699627250433,tank,0.011913805268704891,streetcar,0.010722542181611061,steam_locomotive,0.010652419179677963,electric_locomotive,0.010527265258133411
QJO3ROT-A4E,119,swimming_trunks,0.40597712993621826,seashore,0.15976645052433014,promontory,0.062132686376571655,cliff,0.037660371512174606,sandbar,0.03147539496421814,sarong,0.014004173688590527,breakwater,0.01254818495362997,lakeside,0.012207245454192162,volleyball,0.011795002035796642,soccer_ball,0.010977832600474358
QJO3ROT-A4E,86,Bouvier_des_Flandres,0.047040801495313644,seashore,0.04080411419272423,promontory,0.02010335959494114,leatherback_turtle,0.01808943971991539,swimming_trunks,0.016628116369247437,sarong,0.015614332631230354,bikini,0.013614507392048836,snorkel,0.013074568472802639,sunglass,0.011732956394553185,sandbar,0.011382048018276691
QJO3ROT-A4E,117,tench,0.16438929736614227,barracouta,0.09447117149829865,gar,0.061008844524621964,bulletproof_vest,0.023434152826666832,Bouvier_des_Flandres,0.0175283495336771,coho,0.013760097324848175,bow,0.011945993639528751,jersey,0.010506420396268368,croquet_ball,0.008896961808204651,soccer_ball,0.007959360256791115
QJO3ROT-A4E,29,shower_cap,0.25452449917793274,lab_coat,0.06945328414440155,wig,0.04980527609586716,sunscreen,0.024294042959809303,hair_spray,0.020252471789717674,potter's_wheel,0.019674506038427353,bonnet,0.019627027213573456,wool,0.011600380763411522,hoopskirt,0.00834832713007927,groom,0.007023566402494907
QJO3ROT-A4E,68,sandbar,0.4617973566055298,seashore,0.19521813094615936,cliff,0.01883559860289097,promontory,0.0161506999284029,alp,0.008414920419454575,wreck,0.0073504988104105,dingo,0.0072709135711193085,oxcart,0.0072042932733893394,horse_cart,0.00712662423029542,lakeside,0.005862687714397907
QJO3ROT-A4E,103,seashore,0.30911946296691895,promontory,0.22332803905010223,swimming_trunks,0.0854833573102951,sarong,0.026217058300971985,cliff,0.019554918631911278,snorkel,0.017354372888803482,sandbar,0.015594065189361572,sea_lion,0.014690750278532505,beacon,0.012940663844347,lakeside,0.009033244103193283
QJO3ROT-A4E,51,seashore,0.12096625566482544,swimming_trunks,0.09402887523174286,leatherback_turtle,0.032326020300388336,lakeside,0.02969965897500515,sarong,0.028034554794430733,breakwater,0.026633650064468384,paddle,0.02420511282980442,sturgeon,0.023907162249088287,coho,0.02341446653008461,sea_lion,0.02261411026120186
QJO3ROT-A4E,33,seashore,0.6200933456420898,promontory,0.0720798671245575,lakeside,0.03834552317857742,valley,0.036961860954761505,dam,0.03471573069691658,alp,0.017390821129083633,cliff,0.01675874926149845,sandbar,0.014104828238487244,aircraft_carrier,0.0044168392196297646,breakwater,0.00274254335090518
QJO3ROT-A4E,42,minibus,0.8110189437866211,minivan,0.024222366511821747,moving_van,0.011360078118741512,jeep,0.0064353058114647865,recreational_vehicle,0.005428251810371876,pickup,0.004108460154384375,beach_wagon,0.00357851292937994,trolleybus,0.003396661952137947,garbage_truck,0.0025220434181392193,seashore,0.0019288056064397097
QJO3ROT-A4E,78,potter's_wheel,0.08257373422384262,sea_lion,0.055691126734018326,promontory,0.019467540085315704,Bouvier_des_Flandres,0.019054464995861053,snorkel,0.018533822149038315,seashore,0.017827698960900307,cliff_dwelling,0.015460583381354809,cello,0.014537002891302109,leatherback_turtle,0.012962168082594872,sturgeon,0.011917538940906525
QJO3ROT-A4E,64,seashore,0.1367444396018982,alp,0.12158945202827454,cliff,0.06041712686419487,horse_cart,0.03664267435669899,sandbar,0.033510953187942505,bicycle-built-for-two,0.025625208392739296,promontory,0.02397920750081539,oxcart,0.01822187565267086,racer,0.01487584225833416,unicycle,0.013483510352671146
QJO3ROT-A4E,36,amphibian,0.13627804815769196,tractor,0.06224708631634712,tank,0.05379904806613922,jeep,0.03797098621726036,minibus,0.03304897993803024,minivan,0.031092185527086258,half_track,0.029970521107316017,Model_T,0.029623713344335556,cannon,0.027741221711039543,steam_locomotive,0.027574114501476288
QJO3ROT-A4E,87,seashore,0.07499037683010101,swimming_trunks,0.056668199598789215,potter's_wheel,0.044644951820373535,diaper,0.020756905898451805,bikini,0.016008159145712852,barracouta,0.013853300362825394,sandbar,0.012324364855885506,swing,0.011544340290129185,gar,0.010780979879200459,drumstick,0.010622374713420868
QJO3ROT-A4E,37,amphibian,0.36294302344322205,tank,0.08744140714406967,tractor,0.031486306339502335,steam_locomotive,0.028142621740698814,cannon,0.0223185233771801,half_track,0.021749839186668396,jeep,0.02135327458381653,minibus,0.017605822533369064,recreational_vehicle,0.013058952987194061,minivan,0.012414958328008652
QJO3ROT-A4E,0,matchstick,0.011019071564078331,nematode,0.010505839250981808,digital_clock,0.007299570366740227,abaya,0.00555445859208703,spotlight,0.005496075376868248,microphone,0.005481712520122528,lighter,0.005356969777494669,theater_curtain,0.004753514658659697,vine_snake,0.0044730426743626595,jack-o'-lantern,0.003978450316935778
QJO3ROT-A4E,41,minibus,0.255336731672287,trolleybus,0.1664717197418213,recreational_vehicle,0.14597800374031067,moving_van,0.09808142483234406,passenger_car,0.022029010578989983,trailer_truck,0.018433550372719765,garbage_truck,0.014858603477478027,minivan,0.010665524750947952,snowplow,0.01012161374092102,streetcar,0.008991054259240627
QJO3ROT-A4E,101,promontory,0.3274976313114166,seashore,0.12044627219438553,swimming_trunks,0.049225591123104095,sarong,0.04254244640469551,cliff,0.03353238105773926,sandbar,0.030238041654229164,snorkel,0.01769063249230385,sea_lion,0.014374085702002048,beacon,0.010743396356701851,leatherback_turtle,0.00692374212667346
QJO3ROT-A4E,26,seashore,0.06696411967277527,bikini,0.03792205825448036,sunscreen,0.029273197054862976,tench,0.02615324594080448,rock_crab,0.024311130866408348,barracouta,0.022921107709407806,maillot,0.017339330166578293,gar,0.012792227789759636,American_lobster,0.01266183890402317,sarong,0.012393798679113388
